Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.79     0.00   539214     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      1.79     0.00   539214     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      1.79     0.00   538204     0.00     0.00  __gnu_cxx::__normal_iterator<colVal*, std::vector<colVal, std::allocator<colVal> > >::__normal_iterator(colVal* const&)
  0.00      1.79     0.00   538204     0.00     0.00  std::_Vector_base<colVal, std::allocator<colVal> >::_M_get_Tp_allocator() const
  0.00      1.79     0.00   538204     0.00     0.00  std::vector<colVal, std::allocator<colVal> >::max_size() const
  0.00      1.79     0.00   538204     0.00     0.00  std::allocator_traits<std::allocator<colVal> >::max_size(std::allocator<colVal> const&)
  0.00      1.79     0.00   538204     0.00     0.00  std::vector<colVal, std::allocator<colVal> >::_S_max_size(std::allocator<colVal> const&)
  0.00      1.79     0.00   538204     0.00     0.00  std::vector<colVal, std::allocator<colVal> >::_S_relocate(colVal*, colVal*, colVal*, std::allocator<colVal>&)
  0.00      1.79     0.00   538204     0.00     0.00  std::vector<colVal, std::allocator<colVal> >::_S_do_relocate(colVal*, colVal*, colVal*, std::allocator<colVal>&, std::integral_constant<bool, true>)
  0.00      1.79     0.00   538204     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<colVal, void>::value, colVal*>::type std::__relocate_a_1<colVal, colVal>(colVal*, colVal*, colVal*, std::allocator<colVal>&)
  0.00      1.79     0.00   436950     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      1.79     0.00   436950     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      1.79     0.00   436860     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      1.79     0.00   432000     0.00     0.00  void __gnu_cxx::new_allocator<colVal>::construct<colVal, colVal const&>(colVal*, colVal const&)
  0.00      1.79     0.00   432000     0.00     0.00  void std::allocator_traits<std::allocator<colVal> >::construct<colVal, colVal const&>(std::allocator<colVal>&, colVal*, colVal const&)
  0.00      1.79     0.00   432000     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      1.79     0.00   375177     0.00     0.00  tieBreaker::addNum(int)
  0.00      1.79     0.00   363150     0.00     0.00  Cover::getIndex(int, int)
  0.00      1.79     0.00   358456     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      1.79     0.00   358410     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      1.79     0.00   358410     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      1.79     0.00   358410     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
